poly_id,cluster_p_moto,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,intersection_density_km2,street_density_km2,area_km2,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
45,0,72,198,5.5,15797.384019048684,79.78476777297315,3.263888888888889,69,8198.01704444245,104,78.82708696579279,1.0225100708022388,182.54059062670757,21687.983670439717,0.37799811955853607,0.495,0.139,0.079,0.09,0.137,0.037,0.009
46,0,51,142,5.568627450980392,10596.83622111243,74.6256071909326,3.0,44,5298.418110556215,71,74.6256071909326,1.0741809853346451,145.30222801009094,17497.089918018963,0.30281710475178875,0.778,0.046,0.102,0.024,0.024,0.027,0.0
47,1,109,278,5.10091743119266,15822.817466449147,56.9166095915437,2.8073394495412844,91,7911.40873322457,139,56.91660959154367,1.0205788515648848,258.0248576351514,22432.3089239974,0.3526791985626226,0.468,0.229,0.158,0.019,0.082,0.018,0.0
48,2,4,5,2.5,269.2142319289918,53.84284638579836,3.0,4,205.16864951431344,3,68.38954983810449,1.0122161092411808,14.254979373657148,731.1687167369078,0.28060370310965876,0.422,0.184,0.322,0.015,0.056,0.0,0.0
49,1,117,313,5.35042735042735,18219.175915384876,58.208229761613026,2.888888888888889,104,9125.596534278098,157,58.12481868966942,1.035536235996905,266.1218057304258,23351.156039128877,0.3907984906180487,0.51,0.128,0.117,0.06,0.13,0.033,0.005
50,0,36,78,4.333333333333333,6031.20671114268,77.3231629633677,2.5555555555555554,26,3015.603355571341,39,77.32316296336772,1.079388092851193,123.82739669196837,14362.088960613977,0.20996968921730064,0.446,0.192,0.137,0.049,0.117,0.039,0.01
51,0,56,154,5.5,9762.908174767987,63.395507628363546,3.1607142857142856,51,4970.9374311972515,78,63.72996706663143,1.0113883786973128,239.41228016024823,23335.362057585513,0.21302165438574686,0.386,0.097,0.174,0.033,0.243,0.03,0.006
52,2,18,38,4.222222222222222,2575.144974633709,67.76697301667654,2.5,12,1287.5724873168544,19,67.76697301667654,1.0350841244944025,102.5065329033872,10998.71596138677,0.11706570947346397,0.518,0.103,0.22,0.022,0.091,0.034,0.011
53,0,66,164,4.96969696969697,9443.701104048894,57.58354331737131,2.742424242424242,49,4721.850552024447,82,57.58354331737131,1.0696045813134,171.57848628538173,16534.040207798953,0.28558358953289553,0.417,0.087,0.165,0.057,0.194,0.055,0.006
54,0,22,48,4.363636363636363,2905.2575644942194,60.52619926029624,3.0454545454545454,20,1452.628782247109,24,60.52619926029621,1.0301543273820544,255.06717393786192,18525.895913428394,0.07841071703280914,0.708,0.083,0.124,0.0,0.0,0.044,0.0
55,0,44,104,4.7272727272727275,4945.665798227849,47.55447882911393,2.5,31,2472.832899113924,52,47.554478829113926,1.0454964189812537,84.49577654755876,6740.126970418775,0.3668822427183865,0.421,0.206,0.196,0.045,0.131,0.0,0.0
56,0,11,22,4.0,1229.0787085305974,55.86721402411806,3.0,11,614.5393542652988,11,55.86721402411808,1.1200666523266898,269.40963112796635,15051.1655223848,0.04083001767214154,0.568,0.158,0.158,0.042,0.0,0.04,0.0
57,0,26,61,4.6923076923076925,3085.73096631485,50.58575354614508,3.230769230769231,26,1585.508502550731,31,51.145435566152614,1.017261159183412,468.5955703918297,28575.47158130214,0.055484946172793204,0.508,0.21,0.188,0.0,0.065,0.03,0.0
58,0,19,44,4.631578947368421,1978.603726608204,44.96826651382282,3.1578947368421053,18,989.3018633041015,22,44.9682665138228,1.0233014921369428,426.85254226876197,23460.334190143276,0.04216912918997339,0.374,0.012,0.43,0.061,0.123,0.0,0.0
59,0,25,54,4.32,4353.778831377538,80.62553391439886,2.96,23,2176.88941568877,27,80.62553391439889,1.1597012730113208,226.99983278879148,21484.93623308873,0.10132166053796171,0.419,0.06,0.281,0.0,0.198,0.042,0.0
60,0,14,30,4.285714285714286,1409.361399024393,46.9787133008131,2.9285714285714284,11,704.6806995121963,15,46.978713300813084,1.0150790351577565,206.97787332121408,13259.392050503626,0.05314577748573553,0.441,0.124,0.248,0.031,0.124,0.0,0.0
61,0,15,27,3.6,1263.37379694956,46.791622109242965,2.933333333333333,14,696.4233707302551,15,46.42822471535034,1.0184913013201027,236.87706758461366,11783.337561141077,0.05910238649420604,0.689,0.0,0.176,0.033,0.068,0.033,0.0
62,2,13,28,4.3076923076923075,1941.957630287575,69.35562965312768,2.3846153846153846,8,970.9788151437873,14,69.35562965312766,1.204916292717002,65.51088426453228,7951.210097774667,0.12211711213813084,0.494,0.132,0.271,0.033,0.0,0.069,0.0
63,0,50,118,4.72,7752.075645923867,65.69555632138871,2.82,43,3904.8246980760673,60,65.08041163460112,1.0653540893645743,199.63857118771284,18129.15403400926,0.2153892393848515,0.228,0.454,0.279,0.019,0.01,0.0,0.0
64,2,15,31,4.133333333333334,2372.871849915507,76.54425322308087,2.933333333333333,14,1397.2738369427075,18,77.62632427459486,1.0816705891635303,87.77274169206905,8760.182540218462,0.15950282206195468,0.473,0.083,0.178,0.054,0.115,0.032,0.009
65,0,70,195,5.571428571428571,15215.791761932604,78.02970134324413,3.3142857142857145,58,8001.337074030488,102,78.44448111794595,1.0082141769648854,147.4021296738814,20334.726292253046,0.3934814247821359,0.348,0.092,0.364,0.013,0.102,0.054,0.004
66,0,45,113,5.022222222222222,7606.132027637408,67.31090289944609,3.1333333333333333,41,4064.377779471956,60,67.73962965786593,1.0236992294533998,159.01277699369697,15763.121889397838,0.2578409155235694,0.359,0.171,0.179,0.084,0.129,0.039,0.0
67,0,23,46,4.0,3820.567599429763,83.05581737890789,3.0869565217391304,21,2305.3692613549842,29,79.49549177086152,1.1254050029111076,129.40685977378834,14206.218891950783,0.162278877925864,0.471,0.0,0.36,0.028,0.118,0.012,0.0
68,0,48,122,5.083333333333333,8568.96084482398,70.23738397396704,3.0208333333333335,41,4408.407974144432,64,68.88137459600675,1.0358054643193373,169.70678316379704,18247.23746745568,0.2415931716791058,0.468,0.132,0.197,0.024,0.114,0.042,0.006
69,0,58,137,4.724137931034483,11577.725359903525,84.50894423287244,3.4482758620689653,52,7220.320145807338,87,82.9921855839924,1.011217544762347,144.37917169760726,20047.381577754044,0.3601627533153508,0.355,0.136,0.221,0.108,0.069,0.037,0.014
70,0,60,170,5.666666666666667,14009.93103164837,82.4113590096963,3.4,52,7397.896503690847,90,82.19885004100941,1.000943966086431,138.02943707611985,19637.067114458514,0.37673123285522986,0.328,0.061,0.134,0.074,0.268,0.05,0.026
71,0,29,66,4.551724137931035,3689.9413551820558,55.90820235124327,2.793103448275862,22,1941.1922207704351,34,57.093888846189266,1.041637578224994,142.66287555892526,12588.002919442108,0.1542097053196797,0.302,0.053,0.194,0.07,0.178,0.1,0.0
72,0,50,119,4.76,8552.349218440719,71.86848082723293,3.22,43,4970.031456913508,71,70.00044305511983,1.0028583613105446,195.28719695757695,22571.70958166561,0.22018852577079628,0.496,0.131,0.188,0.048,0.078,0.024,0.0
73,0,39,78,4.0,6338.072079234083,81.2573343491549,3.051282051282051,34,3937.896539974987,51,77.21365764656836,1.0032177374714004,111.9408897558842,12965.048307394642,0.30373172907724527,0.377,0.097,0.3,0.055,0.101,0.037,0.005
74,0,43,116,5.395348837209302,8231.397444248663,70.9603227952471,3.0930232558139537,35,4115.6987221243335,58,70.96032279524712,1.0276428046987565,181.7872416772424,21376.61480770097,0.1925327634496012,0.549,0.17,0.119,0.007,0.14,0.007,0.007
75,2,8,14,3.5,773.5915958407095,55.256542560050676,2.25,5,386.7957979203547,7,55.25654256005067,1.0227543286421765,115.22458944221025,8913.677402668998,0.04339351543107646,0.649,0.089,0.159,0.0,0.088,0.015,0.0
76,2,8,14,3.5,1172.124570352767,83.72318359662621,3.0,8,586.0622851763835,7,83.72318359662621,1.2159430273244143,94.60060195384233,6930.230620016286,0.08456605808812266,0.424,0.153,0.102,0.085,0.219,0.0,0.0
77,2,3,6,4.0,690.181796915065,115.03029948584417,3.0,3,345.0908984575325,3,115.03029948584417,1.595595242235847,67.49791387674117,7764.305247911253,0.044445818065997414,0.357,0.205,0.322,0.0,0.029,0.088,0.0
78,0,28,59,4.214285714285714,4379.491213454035,74.22866463481415,2.392857142857143,18,2221.859825778708,30,74.0619941926236,1.0575179399655328,120.41120551762167,14863.156672954838,0.14948774844186555,0.366,0.024,0.465,0.021,0.083,0.042,0.0
79,0,33,59,3.5757575757575757,4617.754581470047,78.26702680457707,3.121212121212121,30,2847.5015874393475,38,74.93425230103546,1.003838341255347,119.81628752775397,11372.568964545624,0.25038332115782563,0.288,0.074,0.228,0.166,0.174,0.07,0.0
80,0,55,158,5.745454545454545,11507.015352843278,72.8292110939448,3.272727272727273,50,5753.507676421636,79,72.82921109394475,1.0430078222801507,150.959146807449,17370.892199654372,0.3312154384641287,0.348,0.176,0.159,0.145,0.106,0.034,0.0
81,0,32,76,4.75,4054.6356319325973,53.35046884121839,2.78125,26,2027.3178159662984,38,53.35046884121838,1.014629974851727,246.68121617369115,19234.66247742915,0.10539918848824344,0.565,0.139,0.18,0.0,0.078,0.019,0.0
82,2,11,16,2.909090909090909,1450.2006953774153,90.63754346108846,2.272727272727273,5,843.9623890933484,10,84.39623890933484,1.0000120984764924,74.59660404019637,12591.34563280293,0.06702717991432627,0.537,0.132,0.201,0.0,0.108,0.022,0.0
83,2,5,7,2.8,672.2129156546201,96.03041652208859,2.2,2,367.44124757318525,4,91.86031189329631,1.000000001111492,46.3467274622002,8514.849679822624,0.043152992875951694,0.504,0.066,0.302,0.028,0.033,0.066,0.0
84,2,10,18,3.6,1572.5205677563074,87.3622537642393,2.4,5,786.2602838781536,9,87.36225376423928,1.0007159024694303,67.02294106184411,10539.49533312686,0.07460132188747652,0.5,0.25,0.25,0.0,0.0,0.0,0.0
85,1,87,231,5.310344827586207,15744.983471126076,68.16010160660639,3.1494252873563218,85,8690.808628853938,127,68.43156400672392,1.0293066419916583,188.43610405681574,19266.61316617168,0.45108128522107144,0.569,0.139,0.169,0.031,0.078,0.013,0.0
86,2,33,62,3.757575757575758,6718.749382653587,108.36692552667077,2.696969696969697,28,4649.191639259854,41,113.39491803072815,1.0727013437224353,47.85085127351039,7945.277774009689,0.585151554356995,0.298,0.09,0.233,0.106,0.175,0.049,0.024
87,0,55,121,4.4,8662.79113952252,71.59331520266545,2.890909090909091,50,6093.1469468862815,74,82.33982360657137,1.1071582838236422,170.39276916424137,20764.563624091923,0.2934396820078971,0.47,0.174,0.16,0.071,0.087,0.009,0.029
88,2,3,2,1.3333333333333333,173.59854967516566,86.79927483758283,3.0,3,173.59854967516566,2,86.79927483758283,1.0,9.505367877389114,550.0393592145527,0.315611140851923,0.095,0.209,0.428,0.059,0.135,0.028,0.046
89,2,10,11,2.2,1436.6611727806742,130.60556116187948,3.0,10,1436.6611727806742,11,130.60556116187948,1.1119082616689808,34.86448064547088,5008.84456525113,0.28682486630699505,0.166,0.362,0.07,0.282,0.052,0.037,0.031
90,1,126,321,5.095238095238095,16530.380030552406,51.49651099860562,2.857142857142857,109,9335.343604497062,170,54.91378590880625,1.0299934002112296,223.70008521799258,19158.873026286557,0.48725953722271065,0.56,0.142,0.123,0.02,0.087,0.035,0.016
91,0,36,85,4.722222222222222,6976.55446871696,82.07711139667012,2.888888888888889,30,3535.327237043775,43,82.21691248939011,1.0394873030539784,185.23585442086903,21828.978713705794,0.1619556866773636,0.493,0.164,0.088,0.021,0.193,0.021,0.0
92,0,52,91,3.5,5487.270175766482,60.29967226117013,2.6923076923076925,42,3831.826776800893,62,61.80365769033698,1.0246137910679853,189.85904484234717,17321.59456773208,0.22121674548018214,0.439,0.084,0.225,0.014,0.185,0.04,0.0
93,0,56,124,4.428571428571429,9006.28239261058,72.63130961782726,3.4285714285714284,54,6764.206730728925,87,77.74950265205662,1.0058868662181244,197.19366053024586,24701.086774366,0.27384247472660206,0.25,0.203,0.294,0.099,0.055,0.047,0.033
94,2,5,4,1.6,233.10575299525536,58.27643824881384,3.0,5,233.10575299525533,4,58.27643824881383,1.0032510184661572,31.166295477844017,1453.0085550870901,0.16042971817277668,0.232,0.146,0.115,0.089,0.191,0.217,0.011
95,0,49,85,3.4693877551020407,5483.766222990346,64.5148967410629,3.061224489795918,43,3935.7124874972033,60,65.59520812495339,1.0058951226008457,184.4993310426802,16886.891188826907,0.23306317566025653,0.395,0.131,0.255,0.036,0.088,0.043,0.017
96,1,83,204,4.9156626506024095,13280.867740827462,65.10229284719344,3.144578313253012,77,7614.958375148961,117,65.08511431751249,1.023900204018038,210.52806272373877,20820.291356389873,0.36574696505444837,0.544,0.151,0.05,0.033,0.171,0.026,0.0
97,0,55,156,5.672727272727273,14362.358360627533,92.0663997476124,3.5090909090909093,53,7551.725286219978,84,89.9014915026188,1.0098542511532684,121.1479130003775,17261.80675429677,0.4374817418425925,0.398,0.141,0.214,0.06,0.133,0.038,0.0
98,0,41,116,5.658536585365853,7230.764093428548,62.33417321921162,3.1707317073170733,38,3615.382046714274,58,62.33417321921162,1.0212868542623368,226.6075857373014,21559.81571378698,0.16769076761645627,0.547,0.055,0.176,0.03,0.133,0.04,0.0
99,2,42,88,4.190476190476191,7886.235593161333,89.61631355865151,2.2142857142857144,25,3943.1177965806664,44,89.61631355865151,1.1142185320654803,41.07321006982344,6478.260223560682,0.6086692507719903,0.569,0.183,0.157,0.018,0.029,0.029,0.0
100,0,35,94,5.371428571428571,7331.892077751891,77.99885189097756,3.0285714285714285,28,3665.946038875948,47,77.99885189097762,1.0548857243366794,116.13409814820967,15205.047753030709,0.2411005935936796,0.464,0.158,0.182,0.007,0.13,0.033,0.02
101,0,32,76,4.75,5008.79832786403,65.90524115610566,2.6875,25,2504.3991639320157,38,65.90524115610567,1.027257164439769,172.08199282577078,17238.479958424618,0.14527958207290143,0.358,0.0,0.478,0.164,0.0,0.0,0.0
102,2,19,28,2.9473684210526314,2349.6535710853163,83.91619896733273,2.5789473684210527,13,1540.9890114531804,21,73.38042911681812,1.0312918480875313,107.54264339582475,12747.848595045683,0.12088228064240342,0.402,0.052,0.261,0.086,0.08,0.076,0.043
103,0,66,162,4.909090909090909,10970.105868351326,67.71670289105757,2.9545454545454546,61,5830.892157453141,85,68.59873126415461,1.0670270535849158,233.9673432907753,22364.56306712014,0.26072014641884883,0.247,0.387,0.198,0.058,0.079,0.032,0.0
104,2,10,18,3.6,2104.445586245153,116.91364368028628,2.5,6,1052.2227931225766,9,116.91364368028628,1.1231600850576167,35.11816601140626,6158.689121644039,0.17085174658754163,0.552,0.171,0.144,0.01,0.094,0.01,0.01
105,0,55,151,5.490909090909091,10520.752439338232,69.67385721416048,3.090909090909091,52,5490.330658514358,78,70.38885459633792,1.0152790129538292,136.93732854815605,14458.292561980667,0.3797357561398127,0.295,0.213,0.107,0.134,0.114,0.053,0.0
106,0,55,73,2.6545454545454548,7379.317535080976,101.08654157645172,3.036363636363636,53,7141.445252397266,72,99.1867396166287,1.0860538234989339,108.47748098294143,14616.716821842298,0.48858066687900403,0.191,0.263,0.145,0.104,0.132,0.095,0.041
107,2,26,31,2.3846153846153846,4013.1857941112253,129.45760626165242,3.0384615384615383,26,3765.1469513156917,30,125.50489837718972,1.0523365992098854,89.26077552300643,12926.151416635461,0.29128135900296603,0.042,0.448,0.131,0.154,0.149,0.052,0.012
108,0,41,61,2.975609756097561,5510.091744443305,90.32937285972632,3.1463414634146343,41,5091.43860477803,56,90.91854651389339,1.0320447425235704,128.4524892568032,15951.413723949343,0.319184160908182,0.093,0.385,0.07,0.117,0.216,0.063,0.023
109,2,17,18,2.1176470588235294,1937.7119301132554,107.65066278406975,3.0,17,1851.4965094496006,17,108.91155937938827,1.039855404877312,76.61111128995641,8343.835596377012,0.2218999269656681,0.078,0.272,0.23,0.096,0.179,0.107,0.003
110,2,9,9,2.0,1302.548272593522,144.72758584372465,3.0,9,1302.548272593522,9,144.72758584372465,1.3017666865086897,31.079238643499618,4498.023178734696,0.28958238337934306,0.534,0.146,0.093,0.045,0.11,0.043,0.0
111,0,51,116,4.549019607843137,12840.873000891374,110.69718104216702,2.823529411764706,45,7700.187330220161,68,113.2380489738259,1.042624660254551,75.77400908279468,12966.090326651622,0.5938711775277804,0.321,0.161,0.223,0.091,0.085,0.076,0.0
112,0,8,20,5.0,1316.729243976274,65.83646219881369,3.125,8,658.3646219881368,10,65.83646219881368,1.1300816009044314,356.20247823208973,29313.888741563413,0.02245913627469898,0.456,0.308,0.1,0.008,0.108,0.0,0.021
113,1,109,238,4.36697247706422,16675.881423879808,70.0667286717639,3.0825688073394497,102,10793.755010594725,150,71.95836673729816,1.0209214749147586,196.35807768468385,20778.833185096122,0.519459149339371,0.334,0.281,0.119,0.078,0.115,0.035,0.0
114,2,8,9,2.25,1461.7358278304162,162.41509198115736,3.0,8,921.0750319024945,8,115.13437898781181,1.0495645430475085,121.52179121574764,13991.33596511163,0.06583181435991954,0.564,0.0,0.0,0.0,0.436,0.0,0.0
115,2,20,34,3.4,2046.998639818949,60.20584234761615,2.5,15,1081.1954309423886,19,56.905022681178345,1.011847557190261,14.41611205870206,1039.1089659881425,1.040502455788382,0.095,0.285,0.112,0.117,0.296,0.032,0.0
116,2,19,25,2.6315789473684212,2576.803359016655,103.07213436066621,3.1578947368421053,19,2037.6713126836705,20,101.88356563418353,1.0195672297501412,91.49030457164258,9811.956263911987,0.20767227837920052,0.13,0.419,0.088,0.112,0.152,0.057,0.02
