indexA,indexB,area_ratio,street_pattern,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
300.0,316.0,0.9943855804469696,hibrido,0.074,0.115,0.122,0.52,0.043,0.088,0.015
301.0,317.0,0.9922587845376144,organico,0.057,0.155,0.233,0.258,0.165,0.083,0.007
302.0,318.0,0.9952229858274536,gridiron,0.03,0.127,0.178,0.421,0.081,0.091,0.001
303.0,319.0,0.9951363976685464,hibrido,0.027,0.059,0.111,0.477,0.173,0.148,0.006
304.0,320.0,0.9969548880907856,hibrido,0.065,0.094,0.177,0.456,0.11,0.06,0.024
305.0,321.0,0.9928151302045652,organico,0.034,0.13,0.0,0.264,0.0,0.0,0.0
306.0,322.0,0.9982935721006616,gridiron,0.036,0.116,0.459,0.182,0.162,0.035,0.004
307.0,323.0,0.9949002564959972,gridiron,0.118,0.145,0.05,0.356,0.197,0.087,0.0
308.0,324.0,0.994404261229671,gridiron,0.037,0.129,0.261,0.416,0.104,0.048,0.0
309.0,325.0,0.9941500997646876,gridiron,0.079,0.195,0.23,0.289,0.138,0.053,0.007
310.0,326.0,0.9941655531622065,gridiron,0.105,0.137,0.216,0.311,0.104,0.057,0.009
311.0,327.0,0.994577224086818,gridiron,0.023,0.125,0.147,0.439,0.122,0.083,0.01
312.0,328.0,0.9973491623595304,gridiron,0.072,0.106,0.257,0.295,0.153,0.087,0.004
313.0,329.0,0.997166823820417,gridiron,0.084,0.111,0.139,0.397,0.174,0.08,0.0
314.0,330.0,0.9942653593964972,gridiron,0.052,0.077,0.395,0.226,0.2,0.023,0.006
315.0,331.0,0.9964490272848472,hibrido,0.013,0.187,0.138,0.411,0.14,0.052,0.015
316.0,332.0,0.9947249220433502,organico,0.146,0.174,0.207,0.163,0.197,0.063,0.0
317.0,333.0,0.993664615394274,organico,0.144,0.134,0.219,0.287,0.06,0.084,0.071
318.0,334.0,0.9955124271129104,gridiron,0.089,0.192,0.323,0.18,0.166,0.028,0.022
319.0,335.0,0.9986987601135064,gridiron,0.491,0.051,0.124,0.171,0.109,0.0,0.055
320.0,336.0,0.9991452219431952,gridiron,0.637,0.0,0.0,0.158,0.0,0.0,0.104
321.0,337.0,0.9965434403795124,gridiron,0.38,0.064,0.181,0.226,0.09,0.0,0.059
322.0,338.0,0.999112760924702,gridiron,0.052,0.234,0.131,0.181,0.328,0.027,0.017
323.0,339.0,0.9965645092160504,gridiron,0.176,0.265,0.133,0.122,0.192,0.034,0.035
324.0,340.0,0.9996590322814912,gridiron,0.061,0.338,0.286,0.172,0.138,0.0,0.004
325.0,341.0,0.9977818223276672,gridiron,0.18,0.196,0.146,0.152,0.176,0.034,0.027
326.0,342.0,0.9961728323784348,hibrido,0.033,0.224,0.261,0.101,0.311,0.021,0.0
327.0,343.0,0.9997601891042628,gridiron,0.318,0.171,0.137,0.141,0.131,0.034,0.018
328.0,344.0,0.9974897746886924,gridiron,0.128,0.227,0.167,0.226,0.203,0.01,0.02
329.0,345.0,0.9951464778277712,gridiron,0.085,0.188,0.068,0.365,0.086,0.141,0.066
330.0,346.0,0.9998865284839868,gridiron,0.266,0.266,0.074,0.305,0.0,0.089,0.0
331.0,347.0,0.9956274014611268,gridiron,0.472,0.061,0.263,0.009,0.055,0.061,0.0
332.0,348.0,0.9985849403374192,gridiron,0.152,0.121,0.216,0.213,0.061,0.116,0.0
333.0,349.0,0.9968606073419748,gridiron,0.085,0.168,0.19,0.282,0.156,0.065,0.039
334.0,350.0,0.9999734699280094,gridiron,0.403,0.129,0.119,0.087,0.177,0.029,0.058
335.0,351.0,0.9999997441802726,gridiron,0.53,0.117,0.0,0.043,0.195,0.059,0.056
336.0,352.0,0.9999428403001804,gridiron,0.221,0.275,0.137,0.029,0.162,0.072,0.043
337.0,353.0,0.9999604170650772,cul_de_sac,0.209,0.196,0.023,0.225,0.234,0.114,0.0
338.0,354.0,0.998126451524464,gridiron,0.311,0.231,0.022,0.171,0.133,0.03,0.023
339.0,355.0,0.9942629797926544,gridiron,0.109,0.08,0.036,0.613,0.074,0.058,0.0
340.0,356.0,0.9987109874982548,gridiron,0.196,0.052,0.251,0.228,0.048,0.042,0.014
341.0,357.0,0.997639180805962,gridiron,0.102,0.277,0.166,0.174,0.179,0.042,0.024
342.0,358.0,0.9951963202508723,hibrido,0.077,0.135,0.203,0.329,0.125,0.13,0.0
343.0,359.0,0.9982488131203222,gridiron,0.283,0.0,0.233,0.136,0.072,0.204,0.072
344.0,360.0,0.9847273707618776,gridiron,0.243,0.086,0.204,0.283,0.105,0.0,0.079
345.0,361.0,0.9932737691701128,gridiron,0.395,0.079,0.159,0.058,0.232,0.011,0.019
346.0,362.0,0.9981025924997023,gridiron,0.259,0.227,0.114,0.114,0.162,0.0,0.027
347.0,363.0,0.9965862642039472,gridiron,0.146,0.279,0.124,0.363,0.039,0.049,0.0
348.0,364.0,0.9948353851060534,organico,0.196,0.224,0.015,0.181,0.167,0.087,0.015
349.0,365.0,0.9944479760400908,gridiron,0.334,0.107,0.121,0.242,0.115,0.051,0.022
350.0,366.0,0.999053355681382,gridiron,0.437,0.092,0.132,0.096,0.142,0.043,0.016
351.0,367.0,0.9930623996827932,gridiron,0.282,0.073,0.175,0.143,0.213,0.07,0.0
